,listing_id,listing_url,price_type,kilometers,year,city,price,on_road_costs,scraped_on,price_total,predicted_price,discount
29,2994580889,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/2994580889,asking,0,2021,"Greenlane, Auckland",54990.0,1,2021-09-16 10:28:03.614291,54990.0,63072.70846879377,12.81490626455786
30,2996662469,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/2996662469,asking,0,2021,Napier,54990.0,0,2021-09-16 10:28:12.675392,55290.0,63072.70846879377,12.339264727539625
31,2997628150,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/2997628150,asking,0,2021,Napier,49990.0,0,2021-09-16 10:28:21.603361,50290.0,63072.70846879377,20.266623677843512
32,3002062209,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3002062209,asking,91575,2013,"Riccarton, Christchurch",19990.0,1,2021-09-16 10:28:27.929754,19990.0,20265.77891980774,1.3608108570561521
33,3002229355,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3002229355,asking,99447,2011,"Sockburn, Christchurch",15999.0,0,2021-09-16 10:28:35.077481,16299.0,16090.250047310738,-1.2973692271746402
34,3002790548,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3002790548,asking,0,2021,"Glenfield, Auckland",57490.0,0,2021-09-16 10:28:41.250440,57790.0,63072.70846879377,8.375585252387681
35,3006804314,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3006804314,asking,1000,2021,"Pukekohe, Auckland",49990.0,1,2021-09-16 10:28:49.673134,49990.0,62850.07088006296,20.461505770779294
36,3006955515,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3006955515,asking,126100,2016,"Botany, Auckland",30995.0,1,2021-09-16 10:28:57.078200,30995.0,24317.00328636847,-27.462251968255714
37,3009685955,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3009685955,asking,5299,2021,Mt Maunganui,54990.0,1,2021-09-16 10:29:12.881605,54990.0,61901.86852608553,11.165847963333865
38,3009685956,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3009685956,asking,7700,2021,Mt Maunganui,57490.0,1,2021-09-16 10:29:21.920498,57490.0,61378.5353811234,6.335334261363455
39,3014425247,https://www.trademe.co.nz/a/motors/cars/subaru/outback/listing/3014425247,asking,0,2021,Napier,54990.0,0,2021-09-16 10:29:37.252177,55290.0,63072.70846879377,12.339264727539625
